week,category,weekly_rank,weekly_hours_viewed,cumulative_weeks_in_top_10,Show_title,type,description,release_year,age_certification,runtime_mins,genres,production_countries,imdb_id,imdb_score,imdb_votes,drama,comedy,action,family,crime,romance,month_year
2022-10-30,TV (English),2,67510000,3,the watcher,movie,"David Allen Griffin is a cool killer- time and time again, he chooses a female victim, studies her for weeks till he knows her routine to the smallest detail, makes meticulous preparations using his forensic knowledge to gain entr...",2000,R,97.0,"crime, drama, mystery","United States, Canada, Vietnam",tt0204626,5.3,27462.0,1,0,0,0,1,0,2022-10
2022-10-30,TV (English),3,49950000,1,guillermo del toro's cabinet of curiosities,series,"Bizarre nightmares unfold in eight tales of terror in a visually stunning, spine-tingling horror collection curated by Guillermo del Toro.",2022,TV-MA,1.0,"drama, horror, mystery","United States, Mexico",tt8415836,7.4,16854.0,1,0,0,0,0,0,2022-10
2022-10-30,TV (English),4,42070000,2,love is blind,SHOW,"Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.",2020,TV-MA,54.0,"reality, romance",United States,tt11704040,6.1,7863.0,0,0,0,0,0,1,2022-10
2022-10-30,TV (English),5,40960000,6,dahmer,movie,"Biopic about notorious American serial killer Jeffrey Dahmer, taking place in both the past and the present.",2002,R,101.0,"biography, crime, drama",United States,tt0285728,5.6,10725.0,1,0,0,0,1,0,2022-10
2022-10-30,TV (English),6,14060000,2,unsolved mysteries,SHOW,"Real cases of perplexing disappearances, shocking murders and paranormal encounters fuel this gripping revival of the iconic documentary series.",2020,TV-MA,49.0,"documentation, drama, thriller, crime",United States,tt9642938,7.3,9492.0,1,0,0,0,1,0,2022-10
2022-10-30,TV (English),9,13590000,1,big mouth,SHOW,Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.,2017,TV-MA,27.0,"comedy, animation, romance",United States,tt6524350,7.9,76088.0,0,1,0,0,0,1,2022-10
2022-10-30,TV (Non-English),2,21220000,2,barbarians,SHOW,"Three people's fates are interwoven in the Battle of the Teutoburg Forest in 9 A.D., during which Germanic warriors halt the spread of the Roman Empire.",2020,TV-MA,47.0,"drama, action, history",Germany,tt9184986,7.2,23709.0,1,0,1,0,0,0,2022-10
2022-10-30,TV (Non-English),4,12290000,8,little women,MOVIE,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",1994,PG,115.0,"drama, romance, family",United States,tt0110367,7.3,58178.0,1,0,0,1,0,1,2022-10
2022-10-30,TV (Non-English),5,12120000,2,barbarians,SHOW,"Three people's fates are interwoven in the Battle of the Teutoburg Forest in 9 A.D., during which Germanic warriors halt the spread of the Roman Empire.",2020,TV-MA,47.0,"drama, action, history",Germany,tt9184986,7.2,23709.0,1,0,1,0,0,0,2022-10
2022-10-30,TV (Non-English),7,9990000,5,the empress,series,"Two young people meet. A fateful encounter - the proverbial love at first sight. He is Emperor Franz Joseph of Austria-Hungary, she is Elisabeth von Wittelsbach, Princess of Bavaria and the sister of the woman Franz is to marry.",2022,TV-MA,0.0,"drama, history, romance",Germany,tt13720112,7.9,6953.0,1,0,0,0,0,1,2022-10
2022-10-30,TV (Non-English),8,9100000,1,if only,movie,It takes a tragedy to teach the young businessman Ian to put love ahead of work and open up to his musician girlfriend Samantha.,2004,PG-13,92.0,"comedy, drama, fantasy","United States, United Kingdom",tt0332136,7.0,32727.0,1,1,0,0,0,0,2022-10
2022-10-30,TV (Non-English),9,8990000,17,extraordinary attorney woo,SHOW,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.,2022,TV-14,7.0,drama,South Korea,tt20869502,8.8,10429.0,1,0,0,0,0,0,2022-10
2022-10-23,Films (English),1,78830000,1,the school for good and evil,movie,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,2022,PG-13,147.0,"action, comedy, drama",United States,tt2935622,5.8,18952.0,1,1,1,0,0,0,2022-10
2022-10-23,Films (English),2,25340000,2,the curse of bridge hollow,movie,"A teenage girl, who accidentally releases an ancient and mischievous spirit on Halloween which causes decorations to come alive and wreak havoc, must team up with the last person she'd want to in order to save their town - her fat...",2022,TV-14,89.0,"adventure, comedy, family",United States,tt15289240,0.0,4085.0,0,1,0,1,0,0,2022-10
2022-10-23,Films (English),3,19300000,3,luckiest girl alive,movie,"A woman in New York, who seems to have things under control, is faced with a trauma that makes her life unravel.",2022,R,113.0,"drama, mystery, thriller",United States,tt4595186,6.4,13563.0,1,0,0,0,0,0,2022-10
2022-10-23,Films (English),4,17040000,1,the stranger,SHOW,A web of secrets sends family man Adam Price on a desperate quest to uncover the truth about the people closest to him.,2020,TV-MA,45.0,"thriller, crime, drama",United Kingdom,tt9698480,7.3,48298.0,1,0,0,0,1,0,2022-10
2022-10-23,Films (English),5,12120000,2,blackout,movie,Three people from different walks of life find themselves trapped inside a stalled elevator. What at first seems like an inconvenience rapidly escalates into a nightmare.,2008,R,85.0,"horror, mystery, thriller",United States,tt0844666,5.0,3870.0,0,0,0,0,0,0,2022-10
2022-10-23,Films (English),6,9200000,2,black and blue,movie,A rookie New Orleans police officer is forced to balance her identity as a black woman after she witnesses two corrupt cops committing murder.,2019,R,108.0,"action, thriller",United States,tt7390646,6.4,24105.0,0,0,1,0,0,0,2022-10
2022-10-23,Films (English),7,7300000,3,sing,movie,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",2016,PG,108.0,"animation, comedy, family","Japan, United States, France",tt3470600,7.1,169979.0,0,1,0,1,0,0,2022-10
2022-10-23,Films (English),8,5770000,3,mr. harrigan's phone,movie,"When Mr. Harrigan dies, Craig, the teen who befriended and did odd jobs for him, puts his smart phone in his pocket before burial. When the lonely youth sends his dead friend a message, he is shocked to get a return text.",2022,PG-13,104.0,"drama, horror, mystery",United States,tt12908110,6.0,16024.0,1,0,0,0,0,0,2022-10
2022-10-23,Films (English),9,5190000,3,the boss baby,movie,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",2017,PG,97.0,"animation, adventure, comedy",United States,tt3874544,6.3,127311.0,0,1,0,0,0,0,2022-10
2022-10-23,Films (English),10,4920000,1,charlie's angels,movie,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",2000,PG-13,98.0,"action, adventure, comedy","United States, Germany",tt0160127,5.6,187773.0,0,1,1,0,0,0,2022-10
2022-10-23,Films (Non-English),2,8000000,1,20th century girl,movie,"In 1999, a teen with a heart of gold begins keeping close tabs on a popular classmate as a favor to her smitten best friend.",2022,TV-PG,119.0,"drama, romance",South Korea,tt15340724,7.3,1183.0,1,0,0,0,0,1,2022-10
2022-10-23,Films (Non-English),5,3080000,3,laal singh chaddha,movie,"Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth, happiness and will also make you laugh.",2022,PG-13,159.0,"comedy, drama, romance",India,tt10028196,5.4,169172.0,1,1,0,0,0,1,2022-10
2022-10-23,Films (Non-English),7,2010000,2,forever rich,MOVIE,A rising rap superstar spirals out when a humiliating video goes viral and pushes him into a battle for redemption — over the course of one long night.,2021,R,9.0,"crime, comedy, drama, music, thriller",Netherlands,tt12748300,5.5,1025.0,1,1,0,0,1,0,2022-10
2022-10-23,Films (Non-English),8,1790000,7,loving adults,movie,Follows a couple who appear to be living the perfect life after their son is declared healthy following a long-term illness.,2022,TV-MA,104.0,"crime, drama, thriller",Denmark,tt14592948,6.5,7682.0,1,0,0,0,1,0,2022-10
2022-10-23,TV (English),1,148240000,2,the watcher,movie,"David Allen Griffin is a cool killer- time and time again, he chooses a female victim, studies her for weeks till he knows her routine to the smallest detail, makes meticulous preparations using his forensic knowledge to gain entr...",2000,R,97.0,"crime, drama, mystery","United States, Canada, Vietnam",tt0204626,5.3,27462.0,1,0,0,0,1,0,2022-10
2022-10-23,TV (English),2,69110000,5,dahmer,movie,"Biopic about notorious American serial killer Jeffrey Dahmer, taking place in both the past and the present.",2002,R,101.0,"biography, crime, drama",United States,tt0285728,5.6,10725.0,1,0,0,0,1,0,2022-10
2022-10-23,TV (English),4,24890000,1,love is blind,SHOW,"Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.",2020,TV-MA,54.0,"reality, romance",United States,tt11704040,6.1,7863.0,0,0,0,0,0,1,2022-10
2022-10-23,TV (English),5,21650000,3,the midnight club,series,"The Midnight Club follows a group of five terminally ill patients at Brightcliffe Hospice, who begin to gather together at midnight to share scary stories.",2022,TV-MA,1.0,"drama, horror, mystery","Canada, United States",tt13444912,7.0,2527.0,1,0,0,0,0,0,2022-10
2022-10-23,TV (English),6,18930000,1,unsolved mysteries,SHOW,"Real cases of perplexing disappearances, shocking murders and paranormal encounters fuel this gripping revival of the iconic documentary series.",2020,TV-MA,49.0,"documentation, drama, thriller, crime",United States,tt9642938,7.3,9492.0,1,0,0,0,1,0,2022-10
2022-10-23,TV (English),7,13240000,3,the sinner,SHOW,"In a small New York town, a haunted detective hunts for answers about perplexing crimes while wrestling with his own demons.",2017,TV-MA,45.0,"crime, drama, thriller",United States,tt6048596,7.9,118746.0,1,0,0,0,1,0,2022-10
2022-10-23,TV (English),9,12610000,5,dynasty,SHOW,"The reboot follows two of America’s wealthiest families, the Carringtons and the Colbys, as they feud for control over their fortune and their children focusing on Fallon Carrington, the daughter of billionaire Blake Carrington, and her soon-to-be stepmother, Cristal, a Hispanic woman marrying into this WASP family and America’s most powerful class.",2017,TV-14,42.0,drama,United States,tt6128300,7.2,21637.0,1,0,0,0,0,0,2022-10
2022-10-23,TV (Non-English),3,15550000,7,little women,MOVIE,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",1994,PG,115.0,"drama, romance, family",United States,tt0110367,7.3,58178.0,1,0,0,1,0,1,2022-10
2022-10-23,TV (Non-English),4,15090000,4,the empress,series,"Two young people meet. A fateful encounter - the proverbial love at first sight. He is Emperor Franz Joseph of Austria-Hungary, she is Elisabeth von Wittelsbach, Princess of Bavaria and the sister of the woman Franz is to marry.",2022,TV-MA,0.0,"drama, history, romance",Germany,tt13720112,7.9,6953.0,1,0,0,0,0,1,2022-10
2022-10-23,TV (Non-English),5,14590000,1,barbarians,SHOW,"Three people's fates are interwoven in the Battle of the Teutoburg Forest in 9 A.D., during which Germanic warriors halt the spread of the Roman Empire.",2020,TV-MA,47.0,"drama, action, history",Germany,tt9184986,7.2,23709.0,1,0,1,0,0,0,2022-10
2022-10-23,TV (Non-English),7,10920000,1,the playlist,series,How Swedish tech entrepreneur Daniel Ek and business partner Martin Lorentzon revolutionized the music industry through free and legal music streaming when they launched Spotify.,2022,TV-MA,0.0,"biography, drama",Sweden,tt11564258,8.1,521.0,1,0,0,0,0,0,2022-10
2022-10-23,TV (Non-English),8,10490000,16,extraordinary attorney woo,SHOW,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.,2022,TV-14,7.0,drama,South Korea,tt20869502,8.8,10429.0,1,0,0,0,0,0,2022-10
2022-10-23,TV (Non-English),9,10290000,3,high water,series,"When the flood wave approaches the capital of Lower Silesia, a decision is made to save the city from the destructive elements, the surrounding villages and fields should be sacrificed.",2022,TV-MA,0.0,drama,Poland,tt15096728,7.2,2362.0,1,0,0,0,0,0,2022-10
2022-10-23,TV (Non-English),10,8300000,1,barbarians,SHOW,"Three people's fates are interwoven in the Battle of the Teutoburg Forest in 9 A.D., during which Germanic warriors halt the spread of the Roman Empire.",2020,TV-MA,47.0,"drama, action, history",Germany,tt9184986,7.2,23709.0,1,0,1,0,0,0,2022-10
2022-10-16,Films (English),1,57010000,2,luckiest girl alive,movie,"A woman in New York, who seems to have things under control, is faced with a trauma that makes her life unravel.",2022,R,113.0,"drama, mystery, thriller",United States,tt4595186,6.4,13563.0,1,0,0,0,0,0,2022-10
2022-10-16,Films (English),2,25120000,1,the curse of bridge hollow,movie,"A teenage girl, who accidentally releases an ancient and mischievous spirit on Halloween which causes decorations to come alive and wreak havoc, must team up with the last person she'd want to in order to save their town - her fat...",2022,TV-14,89.0,"adventure, comedy, family",United States,tt15289240,0.0,4085.0,0,1,0,1,0,0,2022-10
2022-10-16,Films (English),3,21090000,1,blackout,movie,Three people from different walks of life find themselves trapped inside a stalled elevator. What at first seems like an inconvenience rapidly escalates into a nightmare.,2008,R,85.0,"horror, mystery, thriller",United States,tt0844666,5.0,3870.0,0,0,0,0,0,0,2022-10
2022-10-16,Films (English),4,20080000,2,mr. harrigan's phone,movie,"When Mr. Harrigan dies, Craig, the teen who befriended and did odd jobs for him, puts his smart phone in his pocket before burial. When the lonely youth sends his dead friend a message, he is shocked to get a return text.",2022,PG-13,104.0,"drama, horror, mystery",United States,tt12908110,6.0,16024.0,1,0,0,0,0,0,2022-10
2022-10-16,Films (English),5,12310000,2,sing,movie,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",2016,PG,108.0,"animation, comedy, family","Japan, United States, France",tt3470600,7.1,169979.0,0,1,0,1,0,0,2022-10
2022-10-16,Films (English),6,10290000,2,the redeem team,movie,"Follows the story of the 2008 U.S. Olympic Men's Basketball team and how ""The Redeem Team"" set a new standard for American basketball.",2022,TV-MA,97.0,"documentary, history, sport",United States,tt21837726,7.4,6470.0,0,0,0,0,0,0,2022-10
2022-10-16,Films (English),7,7390000,2,the boss baby,movie,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",2017,PG,97.0,"animation, adventure, comedy",United States,tt3874544,6.3,127311.0,0,1,0,0,0,0,2022-10
2022-10-16,Films (English),8,6160000,1,running with the devil,movie,The CEO of an international conglomerate sends two of his most regarded executives to investigate why shipments of cocaine are being hijacked and over cut somewhere on the supply chain.,2019,R,1.0,"crime, drama, thriller","Colombia, United States",tt5792656,5.4,8516.0,1,0,0,0,1,0,2022-10
2022-10-16,Films (English),9,6090000,3,blonde,movie,A fictionalized chronicle of the inner life of Marilyn Monroe.,2022,NC-17,167.0,"biography, drama, romance",United States,tt1655389,5.5,36785.0,1,0,0,0,0,1,2022-10
2022-10-16,Films (English),10,5600000,1,black and blue,movie,A rookie New Orleans police officer is forced to balance her identity as a black woman after she witnesses two corrupt cops committing murder.,2019,R,108.0,"action, thriller",United States,tt7390646,6.4,24105.0,0,0,1,0,0,0,2022-10
2022-10-16,Films (Non-English),3,6790000,2,togo,movie,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.",2019,PG,113.0,"adventure, biography, drama",United States,tt5116302,7.9,49069.0,1,0,0,0,0,0,2022-10
2022-10-16,Films (Non-English),4,6490000,2,laal singh chaddha,movie,"Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth, happiness and will also make you laugh.",2022,PG-13,159.0,"comedy, drama, romance",India,tt10028196,5.4,169172.0,1,1,0,0,0,1,2022-10
2022-10-16,Films (Non-English),6,3320000,2,jumping from high places,movie,"To honor her best friend's last wish, a young woman with severe anxiety confronts her greatest fears to try and reclaim her life — and perhaps find love.",2022,TV-14,88.0,"comedy, drama, romance",Italy,tt22071864,0.0,542.0,1,1,0,0,0,1,2022-10
2022-10-16,Films (Non-English),9,1810000,3,plan a plan b,movie,"Follows a matchmaker who believes marriage is for everyone except herself, and a successful divorce lawyer with a secret, who cross paths, and explores if opposites coexist or attract.",2022,TV-14,105.0,"comedy, romance",India,tt15238986,4.7,1390.0,0,1,0,0,0,1,2022-10
2022-10-16,TV (English),1,125010000,1,the watcher,movie,"David Allen Griffin is a cool killer- time and time again, he chooses a female victim, studies her for weeks till he knows her routine to the smallest detail, makes meticulous preparations using his forensic knowledge to gain entr...",2000,R,97.0,"crime, drama, mystery","United States, Canada, Vietnam",tt0204626,5.3,27462.0,1,0,0,0,1,0,2022-10
2022-10-16,TV (English),2,122780000,4,dahmer,movie,"Biopic about notorious American serial killer Jeffrey Dahmer, taking place in both the past and the present.",2002,R,101.0,"biography, crime, drama",United States,tt0285728,5.6,10725.0,1,0,0,0,1,0,2022-10
2022-10-16,TV (English),3,49870000,2,the midnight club,series,"The Midnight Club follows a group of five terminally ill patients at Brightcliffe Hospice, who begin to gather together at midnight to share scary stories.",2022,TV-MA,1.0,"drama, horror, mystery","Canada, United States",tt13444912,7.0,2527.0,1,0,0,0,0,0,2022-10
2022-10-16,TV (English),4,27710000,2,conversations with a killer: the jeffrey dahmer tapes,series,"Serial killer Jeffrey Dahmer confesses to his gruesome crimes in unguarded interviews, offering an unsettling view into a disturbed mind.",2022,TV-MA,0.0,"documentary, biography, crime",United States,tt21946032,7.4,1621.0,0,0,0,0,1,0,2022-10
2022-10-16,TV (English),5,18230000,4,dynasty,SHOW,"The reboot follows two of America’s wealthiest families, the Carringtons and the Colbys, as they feud for control over their fortune and their children focusing on Fallon Carrington, the daughter of billionaire Blake Carrington, and her soon-to-be stepmother, Cristal, a Hispanic woman marrying into this WASP family and America’s most powerful class.",2017,TV-14,42.0,drama,United States,tt6128300,7.2,21637.0,1,0,0,0,0,0,2022-10
2022-10-16,TV (English),6,11900000,1,oddballs,series,It tells the story of James. His observations on life fuel his comedic rants at everyday inconveniences and elevates them to absurd heights.,2022,TV-Y7,0.0,"animation, adventure, comedy",United States,tt21107718,6.6,625.0,0,1,0,0,0,0,2022-10
2022-10-16,TV (English),7,11800000,1,the blacklist,SHOW,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",2013,TV-14,43.0,"thriller, drama, crime",United States,tt2741602,8.0,242640.0,1,0,0,0,1,0,2022-10
2022-10-16,TV (English),8,10630000,2,bling empire,SHOW,"Follow LA's wildly wealthy Asian and Asian American fun seekers as they go all out with fabulous parties, glamour and drama in this reality series.",2021,TV-MA,37.0,reality,United States,tt13660962,5.8,3052.0,0,0,0,0,0,0,2022-10
2022-10-16,TV (English),9,9690000,5,fate: the winx saga,SHOW,"The coming-of-age journey of five fairies attending Alfea, a magical boarding school in the Otherworld where they must learn to master their powers while navigating love, rivalries, and the monsters that threaten their very existence.",2021,TV-MA,5.0,"scifi, drama, fantasy, action",United States,tt8179402,6.8,39519.0,1,0,1,0,0,0,2022-10
2022-10-16,TV (English),10,9640000,1,the mole,SHOW,"Players working as a team complete a series of difficult physical and psychological tests, each worth a set amount of money. One of the players, however, is a ""Mole"" or saboteur, whose goal is to foil the efforts of the other players without revealing his or her identity. At the end of each episode, the group is given a quiz on The Mole's identity. The player who knows the least information about The Mole is then immediately sent home. In the final episode, The Mole is revealed and the one remaining player wins the jackpot, up to $1,000,000.",2001,TV-14,47.0,reality,"Belgium, United States",tt0270792,7.6,1155.0,0,0,0,0,0,0,2022-10
2022-10-16,TV (Non-English),1,31040000,2,high water,series,"When the flood wave approaches the capital of Lower Silesia, a decision is made to save the city from the destructive elements, the surrounding villages and fields should be sacrificed.",2022,TV-MA,0.0,drama,Poland,tt15096728,7.2,2362.0,1,0,0,0,0,0,2022-10
2022-10-16,TV (Non-English),2,28080000,3,the empress,series,"Two young people meet. A fateful encounter - the proverbial love at first sight. He is Emperor Franz Joseph of Austria-Hungary, she is Elisabeth von Wittelsbach, Princess of Bavaria and the sister of the woman Franz is to marry.",2022,TV-MA,0.0,"drama, history, romance",Germany,tt13720112,7.9,6953.0,1,0,0,0,0,1,2022-10
2022-10-16,TV (Non-English),3,24990000,6,little women,MOVIE,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.",1994,PG,115.0,"drama, romance, family",United States,tt0110367,7.3,58178.0,1,0,0,1,0,1,2022-10
2022-10-16,TV (Non-English),4,12150000,15,extraordinary attorney woo,SHOW,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.,2022,TV-14,7.0,drama,South Korea,tt20869502,8.8,10429.0,1,0,0,0,0,0,2022-10
2022-10-16,TV (Non-English),5,9360000,5,"el rey, vicente fernández",series,Follows the life of Mexican music icon Vicente Fernandez.,2022,TV-14,0.0,"biography, drama, music","Mexico, Colombia",tt16442864,7.3,266.0,1,0,0,0,0,0,2022-10
2022-10-16,TV (Non-English),7,7750000,15,alchemy of souls,SHOW,"A powerful sorceress in a blind woman's body encounters a man from a prestigious family, who wants her help to change his destiny.",2022,TV-14,8.0,"drama, action, thriller, scifi, comedy, fantasy, romance",South Korea,tt20859920,8.6,878.0,1,1,1,0,0,1,2022-10
2022-10-16,TV (Non-English),8,7440000,1,glitch,SHOW,A police officer and a doctor face an emotionally charged mystery when seven local residents inexplicably return from the dead in peak physical form.,2015,TV-MA,52.0,"scifi, thriller, drama, horror",Australia,tt4192782,7.3,17240.0,1,0,0,0,0,0,2022-10
2022-10-09,Films (English),1,43080000,1,luckiest girl alive,movie,"A woman in New York, who seems to have things under control, is faced with a trauma that makes her life unravel.",2022,R,113.0,"drama, mystery, thriller",United States,tt4595186,6.4,13563.0,1,0,0,0,0,0,2022-10
2022-10-09,Films (English),2,35420000,1,mr. harrigan's phone,movie,"When Mr. Harrigan dies, Craig, the teen who befriended and did odd jobs for him, puts his smart phone in his pocket before burial. When the lonely youth sends his dead friend a message, he is shocked to get a return text.",2022,PG-13,104.0,"drama, horror, mystery",United States,tt12908110,6.0,16024.0,1,0,0,0,0,0,2022-10
2022-10-09,Films (English),3,18810000,2,last seen alive,movie,Will's soon-to-be ex-wife mysteriously vanishes at a gas station. He delves into the town's criminal underbelly while running from the authorities in a race against time to find her.,2022,R,95.0,"action, drama, mystery",United States,tt10242388,5.6,16778.0,1,0,1,0,0,0,2022-10
2022-10-09,Films (English),4,17410000,2,blonde,movie,A fictionalized chronicle of the inner life of Marilyn Monroe.,2022,NC-17,167.0,"biography, drama, romance",United States,tt1655389,5.5,36785.0,1,0,0,0,0,1,2022-10
2022-10-09,Films (English),5,12600000,3,lou,movie,"A storm rages. A young girl is kidnapped. Her mother teams up with the mysterious woman next door to pursue the kidnapper, a journey that tests their limits and exposes shocking secrets from their pasts.",2022,R,107.0,"action, crime, drama",United States,tt5315210,6.1,19805.0,1,0,1,0,1,0,2022-10
2022-10-09,Films (English),6,8510000,1,the boss baby,movie,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",2017,PG,97.0,"animation, adventure, comedy",United States,tt3874544,6.3,127311.0,0,1,0,0,0,0,2022-10
